Period_Type,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
LONG WKND/PUB HOL/OTHER,103.0,65.0,47.0,44.0,58.0,120.0,265.0,396.0,1.0,0.0,0.0,560.0,548.0,561.0,606.0,633.0,633.0,510.0,373.0,289.0,245.0,201.0,154.0
SCHOOL HOLIDAY,100.0,61.0,46.0,43.0,58.0,135.0,328.0,477.0,1.0,0.0,0.0,565.0,561.0,581.0,641.0,680.0,695.0,549.0,381.0,284.0,243.0,203.0,155.0
SCHOOL TERM/NORMAL,94.0,58.0,43.0,41.0,58.0,146.0,353.0,513.0,1.0,0.0,0.0,553.0,549.0,579.0,662.0,700.0,716.0,564.0,384.0,285.0,245.0,200.0,147.0
