Link_ID,Link_Desc
7088, PRINCES HIGHWAY WEST btwn AYRESFORD ROAD & MCWILLIAM STREET
7089, HIGH STREET btwn PRINCES HIGHWAY WEST & HIGH STREET
7146, PRINCES HIGHWAY WEST btwn DARLINGTON ROAD & MANIFOLD STREET
7171, MANIFOLD STREET btwn CAMPERDOWN-BALLARAT ROAD & PRINCES HIGHWAY WEST
7191, PRINCES HIGHWAY WEST btwn PRINCES HIGHWAY WEST & PRINCES HIGHWAY WEST
7253, MURRAY STREET btwn QUEEN STREET & PRINCES HIGHWAY WEST
7382, COLAC ROAD btwn PIONEER ROAD & SETTLEMENT ROAD
7597, MELBOURNE ROAD btwn MELBOURNE ROAD & MELBOURNE ROAD
7683, PRINCES HIGHWAY WEST btwn PLANTATION ROAD & PRINCES FREEWAY WEST
7727, PRINCES FREEWAY WEST btwn PRINCES HIGHWAY WEST Onramp & PRINCES FREEWAY WEST
7765, PRINCES FREEWAY WEST btwn PRINCES HIGHWAY WEST Onramp & PRINCES HIGHWAY WEST Offramp
7831, PRINCES FREEWAY WEST btwn PRINCES HIGHWAY WEST Offramp & JETTY ROAD
7842, PRINCES FREEWAY WEST btwn JETTY ROAD & PRINCES HIGHWAY WEST Onramp
7876, PRINCES FREEWAY WEST btwn PRINCES HIGHWAY WEST Onramp & DUNCANS ROAD
7896, PRINCES FREEWAY WEST btwn PRINCES HIGHWAY WEST Onramp & PRINCES HIGHWAY WEST Offramp
8016, PRINCES FREEWAY WEST btwn PRINCES HIGHWAY WEST Onramp & PRINCES HIGHWAY WEST Offramp
8049, PRINCES FREEWAY WEST btwn KOROROIT CREEK RD & WESTERN RING RD
8157, GEELONG ROAD btwn MCDONALD ROAD & MILLERS ROAD
8190, GEELONG ROAD btwn ROBERTS STREET & GEELONG STREET
8234, GEELONG ROAD btwn GORDON STREET & BARKLY STREET
8266, BALLARAT ROAD btwn GEELONG ROAD & MOORE STREET
8276, SMITHFIELD ROAD btwn BALLARAT ROAD & EPSOM ROAD
8308, RACECOURSE ROAD btwn WELLINGTON STREET & STUBBS STREET
8330, RACECOURSE ROAD btwn WESTERN LINK TOLLWAY Offramp & WESTERN LINK TOLLWAY
8363, RACECOURSE ROAD btwn BOUNDARY ROAD & ELLIOTT AVENUE
300, WESTERN HIGHWAY btwn WESTERN HIGHWAY Start & SERVICETON NORTH-TELOPEA DOWNS ROAD
306, WESTERN HIGHWAY btwn JAMES STREET & VICTORIA STREET
307, VICTORIA STREET btwn WESTERN HIGHWAY & NELSON STREET
315, WESTERN HIGHWAY btwn DIMBOOLA-RAINBOW ROAD & DIMBOOLA-RAINBOW ROAD
317, WESTERN HIGHWAY btwn BORUNG HIGHWAY & HORSHAM ROAD
318, WESTERN HIGHWAY btwn HORSHAM ROAD & DIMBOOLA ROAD
320, BAILLIE STREET btwn URQUHART STREET & MCPHERSON STREET
324, STAWELL ROAD btwn MCPHERSON STREET & WILLIAMS ROAD
331, WESTERN HIGHWAY btwn GATES ROAD & STAWELL-WARRACKNABEAL ROAD
333, WESTERN HIGHWAY btwn STAWELL-WARRACKNABEAL ROAD & GRAMPIANS ROAD
337, WESTERN HIGHWAY btwn ARARAT-STAWELL ROAD & MAIN DIVIDE ROAD
342, NEIL STREET btwn WESTERN HIGHWAY & LAWRENCE STREET
357, WESTERN FREEWAY btwn WESTERN HIGHWAY Onramp & WESTERN HIGHWAY Offramp
359, WESTERN FREEWAY btwn MIDLAND HIGHWAY & WESTERN HIGHWAY Onramp
360, WESTERN FREEWAY btwn WESTERN HIGHWAY Onramp & WESTERN HIGHWAY Offramp
368, WESTERN FREEWAY btwn WESTERN HIGHWAY Offramp & ORMOND ROAD
375, WESTERN FREEWAY btwn WESTERN HIGHWAY Onramp & WESTERN HIGHWAY Offramp
381, WESTERN FREEWAY btwn GREENDALE-MYRNIONG ROAD & WESTERN HIGHWAY Onramp
385, WESTERN FREEWAY btwn WESTERN HIGHWAY Onramp & WESTERN HIGHWAY Offramp
386, WESTERN FREEWAY btwn WESTERN HIGHWAY Offramp & BACCHUS MARSH ROAD
397, WESTERN FREEWAY btwn WESTERN HIGHWAY Onramp & WESTERN HIGHWAY Offramp
406, WESTERN HIGHWAY btwn CAROLINE SPRINGS BOULEVARD & WESTERN HIGHWAY
411, BALLARAT ROAD btwn WESTERN RING ROAD Offramp & WESTERN RING ROAD
416, BALLARAT ROAD btwn UNNAMED & ANDERSON ROAD
419, BALLARAT ROAD btwn CORNWALL ROAD & DUKE STREET
421, BALLARAT ROAD btwn DUKE STREET & ASHLEY STREET
424, BALLARAT ROAD btwn ROSAMOND ROAD & GORDON STREET
7480, MONASH FREEWAY btwn BURKE ROAD & MONASH FREEWAY Onramp
8212, MONASH FREEWAY btwn Warrigal Rd off & Huningdale Rd
8622, MONASH FREEWAY btwn MONASH FREEWAY Offramp & FORSTER ROAD
84, MONASH FREEWAY btwn MONASH FREEWAY Offramp & BLACKBURN ROAD
188, MONASH FREEWAY btwn Blackburn Rd & Ferntree Gully Rd
296, MONASH FREEWAY btwn MONASH FREEWAY Offramp & STUD ROAD
376, MONASH FREEWAY btwn MONASH FREEWAY Offramp & MONASH FREEWAY Offramp
398, MONASH FREEWAY btwn MONASH FREEWAY Onramp & ERNST WANKE ROAD
430, MONASH FREEWAY btwn MONASH FREEWAY Onramp & MONASH FREEWAY Offramp
441, MONASH FREEWAY btwn PRINCES HIGHWAY & MONASH FREEWAY Onramp
840, WARRNAMBOOL-MORTLAKE ROAD btwn DUNLOP STREET & REDDIE ROAD
842, WARRNAMBOOL-MORTLAKE ROAD btwn CONHEADYS ROAD & BANYAN STREET
1085, LOWER DANDENONG ROAD btwn CENTRE DANDENONG ROAD & CHELTENHAM ROAD
1089, CHELTENHAM ROAD btwn LOWER DANDENONG ROAD & CORRIGAN ROAD
1144, FOSTER STREET btwn CHELTENHAM ROAD & LONSDALE STREET
1178, NORTH ROAD btwn HAWTHORN ROAD & BAMBRA ROAD
1211, NORTH ROAD btwn GRANGE ROAD & TUCKER ROAD
